Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF ,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,RES
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,319,1195,3,75,2,98,1233,6,1382823,17,1361,6,428
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,207,713,3,44,2,8,1019,93,1053325,84,1220,38,285
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,281,986,3,51,2,54,1271,6,1539386,15,1338,27,377
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102032,Salinas,1,1,223,803,3,6,3,8,398,35,179297,66,453,22,292
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,214,744,3,48,3,73,643,22,273396,63,705,89,298
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,189,685,3,62,2,97,664,39,628480,34,743,1,261
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,184,596,3,24,2,36,794,21,504129,69,844,71,256
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,402,1327,3,3,2,53,793,5,754196,92,845,64,581
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,322,1123,3,49,2,89,683,62,391890,77,764,32,447
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,341,1109,3,25,2,64,1003,82,1576218,81,1053,23,472
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,384,1300,3,39,2,85,850,48,633719,88,904,66,539
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,217,712,3,28,2,57,566,46,256997,39,686,71,313
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,276,955,3,46,2,63,728,76,9455003,39,948,76,386
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,350,1242,3,55,2,42,624,94,986073,5,731,53,485
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,314,1063,3,39,2,69,840,66,537984,91,897,85,440
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,164,540,3,29,2,65,880,73,899720,36,982,59,233
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,267,911,3,41,2,26,1015,22,921578,83,1079,94,382
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,290,1055,3,64,3,62,844,9,546311,62,904,14,402
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,434,1370,3,16,2,873,13,685298,64,922,678582,28,630
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,360,1298,3,61,2,63,1224,27,1861186,55,1315,63,486
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,454,1517,3,34,3,6,806,83,717176,18,868,1,632
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,279,898,3,22,2,88,695,1,422696,48,781,89,387
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102028,Igapó,1,0,339,1049,3,9,2,66,649,55,333847,3,736,44,475
